net,length_um
cursor\[0\],135.91µm
net28,135.57µm
cursor\[5\],128.66µm
net29,124.005µm
cursor\[2\],122.06µm
cursor\[4\],111.5µm
cursor\[3\],110.5µm
cursor\[1\],109.43µm
net36,98.75µm
net35,95.18µm
net34,85.44µm
net30,85.36µm
net37,80.39µm
clknet_2_0__leaf_clk,73.01µm
net32,70.32µm
net31,69.435µm
clknet_0_clk,68.48µm
_040_,67.42µm
_039_,66.94µm
clknet_2_3__leaf_clk,66.46µm
_038_,61.46µm
clknet_2_1__leaf_clk,61.38µm
_046_,61.04µm
_048_,59.7µm
net2,58.94µm
net33,56.98µm
net27,50.3µm
clknet_2_2__leaf_clk,48.82µm
net1,43.08µm
clk,41.77µm
nxt1\[0\],34.12µm
cnt\[1\],26.82µm
btn_prev,26.08µm
net14,24.36µm
nxt1\[1\],21.32µm
nxt2\[1\],19.1µm
_047_,18.98µm
_043_,18.28µm
net72,18.28µm
nxt2\[4\],17.82µm
nxt0\[2\],17.72µm
nxt0\[5\],17.62µm
mem1\[3\],17.36µm
nxt1\[4\],17.06µm
nxt2\[2\],17.06µm
nxt2\[3\],16.98µm
nxt0\[3\],16.18µm
nxt1\[5\],15.8µm
_045_,15.34µm
net16,15.34µm
mem0\[5\],14.64µm
mem3\[4\],14.56µm
nxt2\[5\],14.44µm
net66,14.32µm
mem2\[4\],14.3µm
mem2\[5\],13.34µm
nxt3\[1\],13.16µm
net10,13.04µm
seg0[3],12.96µm
mem3\[5\],12.92µm
nxt0\[4\],12.92µm
nxt0\[0\],12.64µm
mem2\[1\],12.46µm
done_comb\[2\],12.3µm
net13,12.28µm
seg0[5],12.18µm
_014_,12.04µm
_016_,11.96µm
seg0[2],11.72µm
seg2[5],11.72µm
cnt\[0\],11.62µm
_010_,11.59µm
net47,11.5µm
mem0\[3\],11.38µm
net69,11.16µm
mem0\[2\],11.08µm
net12,10.92µm
net18,10.9µm
seg0[1],10.81µm
seg0[4],10.78µm
net24,10.78µm
net25,10.66µm
nxt3\[2\],10.48µm
net38,10.44µm
net23,10.32µm
mem0\[1\],10.295µm
mem2\[0\],10.08µm
mem3\[0\],9.94µm
mem3\[2\],9.92µm
nxt1\[3\],9.92µm
net45,9.7µm
seg3[0],9.64µm
_023_,9.49µm
net7,9.32µm
_044_,9.28µm
seg1[1],9.18µm
seg3[1],9.18µm
seg3[2],9.18µm
net71,9.02µm
seg2[4],8.96µm
net9,8.94µm
seg0[0],8.93µm
seg3[3],8.93µm
nxt1\[2\],8.78µm
done_ff\[2\],8.72µm
mem1\[5\],8.14µm
btn,8.13µm
net3,8.06µm
nxt2\[0\],8.02µm
net42,7.86µm
_004_,7.75µm
_042_,7.66µm
seg1[5],7.59µm
net11,7.58µm
mem3\[3\],7.56µm
mem2\[3\],7.54µm
mem1\[0\],7.22µm
mem1\[2\],7.1µm
mem2\[2\],7.08µm
seg2[0],6.91µm
nxt3\[4\],6.88µm
_009_,6.77µm
net26,6.76µm
reset,6.43µm
_028_,6.35µm
_035_,6.35µm
nxt0\[1\],6.26µm
_018_,6.11µm
mem1\[4\],5.94µm
net56,5.86µm
mem1\[1\],5.8µm
mem3\[1\],5.8µm
net22,5.8µm
net39,5.75µm
seg2[1],5.75µm
net41,5.75µm
net58,5.72µm
_034_,5.61µm
net54,5.6µm
seg3[4],5.53µm
net63,5.4µm
net49,5.38µm
net70,5.38µm
mem0\[0\],5.34µm
net40,5.29µm
net17,5.26µm
_031_,5.19µm
seg3[5],5.19µm
done_ff\[1\],5.185µm
done_ff\[0\],5.16µm
seg1[0],5.07µm
seg1[3],5.07µm
seg1[4],5.07µm
seg2[2],5.07µm
net4,5.02µm
done_comb\[1\],5µm
_006_,4.97µm
net53,4.92µm
_037_,4.88µm
net48,4.88µm
net64,4.8µm
net52,4.68µm
_021_,4.51µm
net59,4.42µm
net67,4.42µm
seg1[2],4.39µm
seg2[3],4.39µm
net46,4.34µm
_024_,4.15µm
_001_,4.08µm
_019_,4.07µm
mem0\[4\],4µm
nxt3\[5\],4µm
net57,3.88µm
_000_,3.59µm
_013_,3.59µm
net15,3.54µm
net44,3.54µm
net6,3.42µm
net62,3.42µm
_011_,3.37µm
_025_,3.23µm
_036_,3.2µm
_022_,3.18µm
done_comb\[0\],3.08µm
nxt3\[3\],3.08µm
net51,3.08µm
net60,2.96µm
_027_,2.84µm
_026_,2.69µm
net43,2.64µm
nxt3\[0\],2.62µm
net21,2.62µm
net65,2.62µm
_041_,2.52µm
_033_,2.5µm
_002_,2.38µm
_008_,2.38µm
_020_,2.38µm
_029_,2.38µm
_007_,2.23µm
_012_,2.23µm
_017_,2.21µm
net68,2.16µm
net19,2.04µm
_003_,1.82µm
_032_,1.82µm
_005_,1.75µm
_030_,1.7µm
net55,1.7µm
net50,1.38µm
net61,1.38µm
_015_,1.36µm
net5,0.8µm
net8,0.8µm
net20,0.8µm
